ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23aarjsik,SN2023mxn,23:23:45.39,+11:26:19.3,2150.92,g,17.1529,-19.29,24.169,8.948,15.221,SN Ia,0.0411,-45.95666421,0.159
ZTF23aaiwunc,SN2023hrr,17:38:32.95,+40:49:16.4,2083.8,r,17.7066,-18.87,24.817,9.741,15.076,SN Ia,0.046,30.5762592,0.093
ZTF21aciwkzc,SN2021achd,00:38:48.04,+21:09:34.3,1523.73,r,18.0719,-19.08,18.339,8.448,9.891,SN Ia,0.0601,-41.61534824,0.078
ZTF20aaqrddh,SN2020drt,13:18:21.64,+55:50:48.3,915.99,g,18.6232,-19.15,17.545,7.635,9.91,SN Ia,0.0799,60.87371897,0.051
ZTF21abcwsho,SN2021orm,15:56:44.08,+25:40:26.5,1378.8,r,18.6018,-19.11,20.311,8.676,11.635,SN Ia,0.07408,48.71904239,0.192
ZTF22abaxqlk,SN2022rmq,00:28:57.75,+12:18:59.3,1819.97,r,18.7738,-19.32,24.806,10.637,14.169,SN Ia,0.088,-50.17989898,0.2
ZTF22aangixh,SN2022mlz,17:15:59.41,-16:16:12.8,1747.84,r,18.4587,-19.06,20.321,8.059,12.262,SN Ia,0.05266,12.58344149,0.87
ZTF21aapyiku,SN2021gtp,08:48:50.26,+29:52:13.8,1310.7,r,15.9059,-18.83,22.532,10.18,12.352,SN Ia,0.01968,37.25551865,0.111
ZTF18aaupmks,SN2018bsr,19:27:38.77,+61:56:49.9,261.96,g,16.8512,-19.54,24.631,10.524,14.107,SN Ia,0.04,19.66767595,0.167
ZTF19aailteb,SN2019ana,15:17:56.56,+37:06:50.3,526.97,g,18.2582,-19.46,22.667,8.394,14.273,SN Ia,0.078,57.64155884,0.045
ZTF19abmzmom,SN2019mvi,20:16:14.98,-18:29:37.1,711.81,r,18.551,-18.64,40.781,9.939,30.842,SN Ia,0.057,-26.73716839,0.262
ZTF20aauonld,SN2020hdx,16:57:14.90,+14:40:49.7,956.98,r,17.7747,-19.22,18.685,7.304,11.381,SN Ia,0.053,31.80217083,0.215
ZTF20abmsqaa,SN2020pqr,01:16:54.26,-15:31:10.9,1064.96,g,18.8739,-19.55,24.757,16.012,8.745,SN Ia,0.107,-76.97113453,0.048
ZTF22aajijjf,SN2022joj,14:41:40.06,+03:00:24.3,1722.82,g,15.8462,-19.84,21.007,8.049,12.958,SN Ia,0.03,54.27688868,0.099
ZTF18aaroihe,SN2018bio,11:33:02.52,+62:44:38.2,260.68,r,17.7062,-18.92,23.326,9.154,14.172,SN Ia,0.04825,52.12280505,0.03
ZTF20aamnvij,SN2020chi,09:38:05.60,+24:00:41.4,903.8,g,18.1275,-19.37,26.368,10.91,15.458,SN Ia,0.07,46.55045797,0.061
ZTF22abjeeqt,SN2022wgb,22:42:47.90,+04:08:54.8,1865.71,g,18.2136,-19.42,21.061,9.591,11.47,SN Ia,0.07,-45.92840062,0.176
ZTF23aamtyjs,SN2023jww,17:59:22.35,+17:15:36.3,2110.83,r,17.6463,-18.83,21.473,9.464,12.009,SN Ia,0.041,19.06984902,0.278
ZTF20abeeytg,SN2020mba,12:34:50.03,+58:54:54.5,1020.71,g,17.2777,-19.11,19.746,8.013,11.733,SN Ia,0.04274,58.08240916,0.038
ZTF18acjxyak,SN2021efe,18:44:34.18,+33:43:18.6,1291.97,r,18.1069,-19.07,27.483,17.458,10.025,SN Ia,0.0585,15.98156104,0.181
ZTF23aaprwrn,SN2023lxo,18:42:38.85,+66:53:58.1,2135.93,r,18.968,-19.19,22.43,13.106,9.324,SN Ia,0.09,25.64628612,0.218
ZTF19aatgrxv,SN2019ens,11:29:42.60,+24:38:24.7,612.67,g,17.6961,-18.55,26.149,5.115,21.034,SN Ia,0.04,71.47124997,0.047
ZTF19abzhvxk,SN2019qgf,18:30:47.60,+23:25:08.3,754.76,g,18.3851,-19.76,23.726,8.85,14.876,SN Ia,0.083,14.75575745,0.291
ZTF20aayubpi,SN2020jhj,20:19:56.79,+49:54:20.3,985.97,r,18.1214,-17.85,23.594,6.448,17.146,SN Ia,0.02,7.63846277,1.557
ZTF23aacopzi,SN2023chz,08:38:03.07,+07:53:23.5,2013.75,r,17.7036,-19.03,28.072,10.161,17.911,SN Ia,0.04924,27.2616507,0.104
ZTF24aaejsaf,SN2024cet,13:18:44.53,+47:18:36.4,2363.89,g,17.9534,-19.34,24.713,9.712,15.001,SN Ia,0.06489,69.11947081,0.031
ZTF19acexijn,SN2019spa,03:08:32.22,-10:02:26.8,787.86,g,16.7536,-18.21,25.596,12.272,13.324,SN Ia,0.02,-53.48250441,0.238
ZTF19aadmjtn,SN2019rx,05:21:59.62,-07:11:24.8,514.71,g,17.2523,-19.25,20.045,10.987,9.058,SN Ia,0.03688,-23.14127224,0.405
ZTF23aazysgv,SN2023qyr,02:26:41.75,-02:49:14.8,2195.91,g,17.9679,-19.37,22.658,8.229,14.429,SN Ia,0.065,-56.68518453,0.068
ZTF22abdxjhr,SN2022son,21:32:52.59,-06:10:42.5,1829.67,r,18.8069,-19.13,22.8,6.891,15.909,SN Ia,0.084,-38.46729513,0.136
ZTF23aamixrh,SN2023jrd,17:44:38.83,+35:44:00.8,2101.93,g,18.5938,-19.19,23.792,6.88,16.912,SN Ia,0.079,28.28629476,0.074
ZTF21abhtkiy,SN2021qxe,21:58:47.64,-17:19:07.8,1400.9,g,17.917,-19.83,25.308,11.763,13.545,SN Ia,0.076,-49.06874376,0.119
ZTF18abeaipj,SN2018des,17:20:08.94,+09:29:32.2,314.73,r,18.4441,-19.50,31.756,16.556,15.2,SN Ia,0.08,24.56187139,0.27
ZTF22aamgjba,SN2022lmx,20:08:29.62,+61:38:13.9,1743.83,r,18.3851,-18.90,22.372,10.316,12.056,SN Ia,0.055,15.17464764,0.475
ZTF21aalcsng,SN2021dam,14:27:32.83,+15:31:29.7,1269.87,r,17.4993,-19.40,24.069,5.862,18.207,SN Ia,0.05364,64.85843044,0.075
ZTF19acqxoll,SN2019ulm,00:37:13.35,+25:58:29.7,806.73,r,18.571,-19.70,32.965,10.072,22.893,SN Ia,0.099,-36.78652715,0.099
ZTF23abuitpw,SN2023abnc,02:56:57.57,+13:15:55.3,2307.63,g,18.3999,-19.60,21.268,5.713,15.555,SN Ia,0.072,-39.41288208,0.427
ZTF19aczllns,SN2019wzy,01:59:40.28,+05:58:55.1,850.67,g,18.1925,-19.51,24.787,12.856,11.931,SN Ia,0.075,-53.00425899,0.109
ZTF23aboicxj,SN2023wqf,09:28:49.25,-03:30:46.3,2261.98,g,17.5878,-19.40,20.197,9.181,11.016,SN Ia,0.0543,32.36097715,0.099
ZTF21aaraqpr,SN2021hke,09:06:08.35,-03:17:50.9,1309.67,g,18.5441,-19.26,27.952,12.4,15.552,SN Ia,0.0804,27.80350072,0.058
ZTF20acpxvez,SN2020zko,11:52:17.41,+43:17:12.3,1178.03,g,17.6369,-19.16,24.277,9.294,14.983,SN Ia,0.051,69.89103031,0.055
ZTF23aaubzzz,SN2023nve,16:14:10.00,+38:21:27.1,2161.85,r,18.4004,-18.86,21.768,9.926,11.842,SN Ia,0.064,46.48270471,0.039
ZTF21aaxzdxd,SN2021lhs,20:09:58.21,+01:13:09.7,1345.96,r,18.6241,-19.36,27.455,13.475,13.98,SN Ia,0.08,-16.81354695,0.32
ZTF23abezmku,SN2023sxr,06:34:59.90,+63:09:57.2,2220.86,r,18.7899,-19.48,27.018,14.925,12.093,SN Ia,0.093,22.21548166,0.257
ZTF20acuimtq,SN2020abdq,10:42:04.72,+69:40:28.5,1194.93,g,18.1798,-19.30,30.781,8.238,22.543,SN Ia,0.069,43.53372859,0.073
ZTF22aawzdti,SN2022psj,00:10:38.99,+37:23:46.8,1806.91,r,18.45,-19.18,29.828,14.914,14.914,SN Ia,0.071,-24.76856451,0.215
ZTF23abtooan,SN2023aabt,01:23:48.08,+24:32:52.2,2307.65,g,17.9834,-19.41,19.499,6.556,12.943,SN Ia,0.061,-37.73763005,0.229
ZTF21abpxuss,SN2021uky,03:39:01.05,+41:38:27.2,1426.95,r,18.1927,-17.49,26.733,8.184,18.549,SN Ia,0.025,-11.07557348,0.627
ZTF18abkudjo,SN2018eqg,15:08:14.55,+34:52:06.0,343.67,g,18.8301,-19.25,27.186,8.195,18.991,SN Ia,0.09216,59.83879247,0.041
ZTF19abpgggu,SN2019nli,02:11:12.96,+25:34:55.3,718.96,r,18.0214,-18.82,24.89,6.886,18.004,SN Ia,0.0491,-33.89673918,0.235
ZTF23abetwwi,SN2023sue,21:54:58.76,+03:06:00.0,2223.71,r,18.2171,-19.65,24.962,11.994,12.968,SN Ia,0.08,-37.83358804,0.173
ZTF24aadkwol,SN2024apt,10:25:36.87,-02:12:39.2,2354.83,g,15.4292,-19.23,31.42,17.427,13.993,SN Ia,0.01850,44.24328028,0.124
ZTF18aauuzmf,SN2023czd,13:02:35.20,+27:26:21.7,2029.88,g,15.544,-18.94,20.466,5.038,15.428,SN Ia,0.018,87.50349016,0.03
ZTF20aahqcup,SN2020ass,16:07:20.15,+37:01:30.5,880.05,r,18.7691,-19.48,24.461,10.826,13.635,SN Ia,0.1,47.81458685,0.043
ZTF20aawadcp,SN2020isd,17:45:15.48,-05:05:51.5,973.86,r,18.4136,-19.29,30.138,11.173,18.965,SN Ia,0.034,12.23511566,2.242
ZTF20aahaxjl,SN2020amt,07:34:43.70,+18:02:32.9,881.77,r,18.2211,-18.32,18.163,8.286,9.877,SN Ia,0.045,17.46507672,0.105
ZTF21aarhnwn,SN2021hup,11:54:05.97,-06:36:05.7,1321.77,r,17.9866,-18.73,27.473,19.657,7.816,SN Ia,0.049,53.52721203,0.093
ZTF19aajxwnz,SN2019bek,06:17:30.45,+62:29:27.9,547.67,r,15.2395,-19.21,27.28,12.756,14.524,SN Ia,0.015,20.10824991,0.478
ZTF19aakrhzj,SN2019bim,12:07:07.37,+01:22:50.8,543.8,g,18.8442,-19.23,26.534,11.141,15.393,SN Ia,0.09,62.14542494,0.082
ZTF23aaznfqc,SN2023qqc,23:23:35.87,+39:00:31.5,2196.85,r,18.4211,-19.28,24.25,14.321,9.929,SN Ia,0.07,-20.75496424,0.337
ZTF20aazsyvu,SN2020kfb,14:43:46.71,+71:51:00.9,998.84,g,18.4952,-19.07,21.923,7.666,14.257,SN Ia,0.072,42.6786931,0.065
ZTF20acplhku,SN2020zfu,01:52:09.10,+42:52:11.4,1178.68,g,18.6972,-19.06,26.217,12.478,13.739,SN Ia,0.074,-18.62028241,0.176
ZTF21abwxext,SN2021xyk,20:37:23.84,+55:04:42.9,1476.83,r,18.4121,-20.02,24.817,12.746,12.071,SN Ia,0.079,8.43194374,0.886
ZTF20abyskia,SN2020tcp,17:47:35.58,+66:39:07.4,1112.66,g,18.2973,-19.57,25.539,7.779,17.76,SN Ia,0.08,31.04024665,0.126
ZTF19acgpqxt,SN2019tht,02:01:15.56,+03:54:22.8,791.79,g,18.123,-19.99,26.427,12.108,14.319,SN Ia,0.09,-54.68323806,0.11
ZTF19abvhkst,SN2019pki,01:20:06.97,+35:54:05.3,743.9,g,18.1079,-19.46,25.109,11.148,13.961,SN Ia,0.068,-26.60836093,0.169
ZTF19acbacvu,SN2019rij,00:34:05.63,+05:21:14.5,771.77,r,17.5374,-18.42,30.017,15.102,14.915,SN Ia,0.035,-57.24802701,0.072
ZTF23aahxsrk,SN2023gyj,11:14:37.93,+09:41:32.0,2077.79,g,17.922,-19.24,30.034,9.927,20.107,SN Ia,0.06,61.27630007,0.062
ZTF18abcrtnq,SN2018cvu,13:15:34.31,+28:20:34.5,301.76,g,18.611,-19.67,27.044,9.751,17.293,SN Ia,0.10151,84.52407295,0.03
ZTF21aagyvtq,SN2021btl,15:30:30.08,+30:58:50.7,1252.04,g,18.8283,-19.58,26.702,8.805,17.897,SN Ia,0.10504,55.20785324,0.072
ZTF21abkezqs,SN2021spq,22:58:10.38,-10:31:34.1,1411.9,g,18.6961,-19.50,20.67,9.228,11.442,SN Ia,0.093,-58.60656713,0.12
ZTF20acwkvgj,SN2020acdv,07:13:30.04,+23:37:33.5,1201.96,r,18.1664,-19.03,24.118,8.034,16.084,SN Ia,0.06,15.13641726,0.133
ZTF19abzmnuk,SN2019qia,16:06:15.32,+15:38:51.4,758.63,g,17.4759,-18.80,21.286,9.841,11.445,SN Ia,0.039,43.51649412,0.118
ZTF22abbzucj,AT2022sas,16:54:03.82,-05:21:02.5,1825.65,r,18.5091,-19.34,30.53,11.514,19.016,SN Ia,0.0595,23.06119789,0.935
ZTF19acrcupt,SN2019uyh,20:32:03.35,+59:48:30.9,812.6,r,18.5307,-19.24,31.336,14.563,16.773,SN Ia,0.06,11.76451525,0.821
ZTF20acuzjqk,SN2020abno,06:29:53.20,+54:08:24.8,1194.84,r,18.8423,-18.87,37.729,12.743,24.986,SN Ia,0.07,18.69932985,0.343
ZTF23aafsglu,SN2023ftr,09:16:49.96,+20:10:41.9,2060.7,g,16.5216,-19.05,26.233,6.235,19.998,SN Ia,0.02838,40.7233552,0.104
ZTF20abmcxct,SN2020pna,23:58:09.53,-19:30:51.5,1056.94,g,16.5028,-19.14,22.246,6.723,15.523,SN Ia,0.03,-75.60785115,0.069
ZTF21aaampui,SN2021dn,08:19:09.68,+24:46:56.9,1232.88,g,15.8367,-18.39,15.812,7.774,8.038,SN Ia,0.0155,29.53304753,0.086
ZTF19abjibet,SN2019mbi,16:30:13.95,+66:38:01.8,707.72,g,17.5383,-19.31,22.841,9.758,13.083,SN Ia,0.0515,38.5037978,0.082
ZTF21abbzcxe,SN2021mtq,14:28:15.92,-01:58:55.7,1363.77,g,17.9738,-19.09,18.475,6.095,12.38,SN Ia,0.055,52.70013587,0.139
ZTF19abdmfgf,SN2019kzd,15:08:32.43,+05:50:36.6,674.7,g,18.6791,-19.08,23.166,5.74,17.426,SN Ia,0.077,51.08092922,0.107
ZTF19aabyuze,SN2019ro,11:59:34.01,+57:19:43.6,509.04,g,16.7019,-19.73,23.899,10.804,13.095,SN Ia,0.043,58.43192758,0.069
ZTF21abvbhul,SN2021xjs,18:24:05.69,+30:14:11.8,1466.67,r,18.5995,-18.84,27.962,11.885,16.077,SN Ia,0.063,18.73196433,0.298
ZTF20acgynyw,SN2020vcf,17:10:08.68,+38:13:46.4,1139.68,g,18.1413,-19.41,22.311,9.925,12.386,SN Ia,0.07,35.53513455,0.108
ZTF22aauhism,SN2022pcc,21:16:54.84,+79:14:59.1,1789.84,r,18.3766,-19.10,22.889,7.051,15.838,SN Ia,0.058,20.45943021,0.563
ZTF21aaqafcf,SN2021gkk,12:16:34.38,+60:21:52.3,1307.79,g,17.0545,-19.35,22.597,9.437,13.16,SN Ia,0.043,56.23623516,0.045
ZTF20abawntz,SN2020kzn,15:38:11.56,+03:01:40.2,1001.87,g,18.6603,-19.19,18.84,8.939,9.901,SN Ia,0.078,43.45423797,0.158
ZTF21aamfcji,SN2021dnm,12:37:24.21,+23:05:36.8,1278.82,g,17.5295,-19.02,24.615,7.667,16.948,SN Ia,0.04610,84.86526616,0.039
ZTF22abbbwtl,SN2022rso,23:27:35.83,+16:39:18.3,1821.82,r,18.2119,-18.59,27.674,8.019,19.655,SN Ia,0.05076,-41.72376886,0.104
ZTF21abvyxfs,SN2021xbw,18:55:22.73,+50:25:17.1,1466.81,g,18.8387,-19.51,25.613,10.002,15.611,SN Ia,0.099,19.9806455,0.128
ZTF20aattotq,SN2020fcw,14:28:32.00,+27:24:29.8,941.9,r,16.0699,-17.95,20.826,7.639,13.187,SN Ia,0.01439,68.456273,0.066
ZTF23aafvgyf,SN2023fud,12:57:20.03,-17:07:53.6,2062.76,g,17.4421,-19.36,28.114,10.145,17.969,SN Ia,0.04730,45.7170407,0.197
ZTF19acfthre,SN2019ssj,00:36:25.35,+02:25:40.0,788.75,r,18.1693,-18.07,25.461,11.859,13.602,SN Ia,0.04,-60.22304636,0.049
ZTF21aagsypp,SN2021bkw,14:21:13.61,+20:42:53.8,1254.93,r,15.754,-18.80,19.221,8.287,10.934,SN Ia,0.0182,68.53927465,0.101
ZTF19aanyuyh,AT2020pkj,21:54:23.06,+15:09:24.7,1060.9,r,16.9416,-18.42,25.208,10.255,14.953,SN Ia,0.02453,-29.73305897,0.289
ZTF19acuyvtl,SN2019vuv,07:13:21.32,+60:52:02.0,828.74,r,18.5554,-19.46,27.424,17.712,9.712,SN Ia,0.086,26.08307531,0.17
ZTF21acaspdb,SN2021yqn,17:52:31.86,+25:18:23.3,1477.65,g,18.6204,-18.71,32.203,6.969,25.234,SN Ia,0.06065,23.54368132,0.184
ZTF19abtcapa,SN2019wbm,02:11:52.06,+28:18:31.0,828.69,r,18.2055,-19.39,26.942,9.002,17.94,SN Ia,0.07,-31.30237025,0.201
ZTF19abzrjrg,SN2019rkh,08:20:11.08,+54:48:17.8,751.99,g,18.8285,-18.78,28.681,9.196,19.485,SN Ia,0.07,34.49497536,0.151
ZTF19acasiwm,SN2019rny,23:22:05.55,-06:03:37.3,760.77,r,18.999,-18.64,24.632,11.416,13.216,SN Ia,0.07327,-60.08320858,0.132
ZTF21aacudxe,SN2021vt,13:27:07.80,+11:21:08.6,1231.96,g,18.9001,-19.10,32.238,13.242,18.996,SN Ia,0.087,72.13317058,0.077
ZTF19aainjpz,SN2019aya,04:19:58.10,-07:15:24.6,539.67,r,16.9262,-19.07,20.659,8.238,12.421,SN Ia,0.033,-36.8362183,0.265
ZTF18accrorf,SN2018hzx,01:08:39.11,+20:04:47.6,437.73,g,17.496,-18.83,24.647,8.408,16.239,SN Ia,0.04,-42.60802271,0.107
ZTF20acisbek,SN2020wio,04:00:01.47,-24:36:00.9,1149.94,g,18.2226,-19.11,27.559,11.664,15.895,SN Ia,0.06409,-47.74682337,0.087
ZTF21abnfgff,SN2021tvc,23:20:47.28,+04:15:39.6,1424.88,r,18.5355,-18.71,26.632,9.453,17.179,SN Ia,0.06,-51.73198224,0.196
ZTF20acajvrj,SN2020ttg,00:05:05.21,+12:46:05.0,1125.79,r,18.6841,-19.03,20.522,11.806,8.716,SN Ia,0.0705,-48.5483717,0.334
ZTF23aaqwtak,SN2023mun,17:05:47.36,+53:09:59.6,2149.83,g,18.5335,-19.68,31.885,9.963,21.922,SN Ia,0.09,37.03448319,0.193
ZTF18acsxpmp,SN2018jsx,00:40:42.94,+30:02:45.9,464.77,r,18.5102,-19.21,37.271,15.691,21.58,SN Ia,0.076,-32.76808051,0.143
ZTF21abgcgem,SN2021pyz,19:16:11.91,+45:08:54.6,1390.93,g,18.2272,-19.20,21.351,7.366,13.985,SN Ia,0.061,14.80821309,0.251
ZTF22aambnsg,SN2022lqo,17:35:02.67,+55:25:06.7,1741.91,g,18.364,-19.44,21.638,7.833,13.805,SN Ia,0.07836,32.73127434,0.112
ZTF21abmgxyu,SN2021tnd,21:48:57.17,-09:04:16.0,1423.92,r,18.2609,-19.70,24.441,8.924,15.517,SN Ia,0.085,-43.35842698,0.131
ZTF20aattrld,SN2020fht,15:52:32.80,+22:28:47.8,943.94,g,18.1357,-19.45,28.796,9.989,18.807,SN Ia,0.06845,48.8533127,0.175
ZTF21abiacmi,SN2021qxu,00:31:29.36,+17:23:00.0,1401.96,r,17.4603,-18.77,23.061,8.273,14.788,SN Ia,0.038,-45.22617844,0.181
ZTF22abyhxlj,SN2022acqg,01:10:01.90,-14:36:44.4,1932.61,g,17.1412,-19.95,25.961,8.974,16.987,SN Ia,0.058,-76.75596919,0.066
ZTF22aazpfxt,SN2022qzt,02:40:24.30,-17:14:17.8,1806.9,r,18.4392,-19.06,29.469,5.458,24.011,SN Ia,0.07,-62.98149703,0.091
ZTF22aasdtcq,SN2022orh,23:42:32.91,+46:07:03.1,1778.95,r,18.2386,-18.45,21.074,11.107,9.967,SN Ia,0.045,-15.10588186,0.288
ZTF23aazskaz,SN2023qrs,01:33:46.89,+28:34:25.8,2187.96,g,18.5934,-19.86,23.573,6.016,17.557,SN Ia,0.1,-33.38018144,0.201
ZTF22aamrhna,SN2022lua,21:57:33.22,-07:44:20.1,1744.94,g,17.4541,-19.74,26.694,7.763,18.931,SN Ia,0.05938,-44.53963084,0.107
ZTF23aadvulr,SN2023eco,07:38:42.43,+48:34:13.7,2043.69,r,17.7053,-19.13,28.622,7.925,20.697,SN Ia,0.049,27.54773139,0.237
ZTF22abmnhau,SN2022xin,04:25:02.97,+12:19:11.3,1880.85,r,18.6952,-19.37,37.576,15.277,22.299,SN Ia,0.059,-24.90314831,1.217
ZTF19abhhocz,SN2019lsw,21:31:28.11,-06:01:25.9,690.87,r,18.8863,-19.47,29.925,8.447,21.478,SN Ia,0.1,-38.08688172,0.168
ZTF21acdkydg,SN2021zgb,18:03:43.57,+28:51:13.8,1489.69,g,17.4011,-19.89,27.775,6.791,20.984,SN Ia,0.06,22.40532175,0.171
ZTF22aadfcnz,SN2022gdg,14:34:50.60,+53:50:10.5,1682.89,g,18.6029,-19.01,20.63,7.883,12.747,SN Ia,0.075,57.21990641,0.029
ZTF23absboby,SN2023yzw,01:18:16.26,-01:00:14.4,2305.68,g,17.1945,-19.11,23.842,13.832,10.01,SN Ia,0.04,-63.09384114,0.095
ZTF20abydkrl,SN2020sjo,04:26:21.94,-10:05:55.7,1109.0,g,16.6613,-19.20,21.97,10.274,11.696,SN Ia,0.03114,-36.7470734,0.181
